Unnamed: 0,state_abbv,perc_turnout_by_mail_2016,perc_ballots_rejected_for_counting_2016,perc_poll_workers_over_60_2016,perc_ballots_rejected.signature_2016,perc_ballots_rejected.late_2016,perc_ballots_rejected.other_2016
AL,AL,0.0,,,,,
AR,AR,2.378415909,5.8637602179999995,22.74688119,17.34820322,16.91449814,66.17100372
AZ,AZ,73.00445153,0.533720701,52.87435119,53.26399851,6.128702757999999,40.60729873
CA,CA,58.00485596,0.68502179,32.60116475,69.67020529,22.71175976,7.638614965
CO,CO,92.05304488,0.8756708590000001,35.57304278,80.39485569,8.249817196,11.35532711
CT,CT,7.5746663839999995,1.918007454,,,,
DC,DC,5.331242523999999,0.19849624100000002,31.53028202,75.75757576,0.0,24.24242424
DE,DE,3.123710167,1.540106952,45.38693934,6.481481481,93.05555556,0.46296296299999995
FL,FL,27.857772100000002,0.8201791009999999,51.23268221,54.40768216,29.04018568,16.55213216
GA,GA,4.836127655,6.420132092,55.10916160000001,2.471302186,16.86773415,80.66096366
GU,GU,4.228259051,1.24426981,,94.73684211,5.263157895,0.0
HI,HI,42.81249357,0.652836744,5.270162364,72.18649518,0.0,27.81350482
IA,IA,40.63379182,0.651447773,64.02096937,46.22463426,24.89381784,28.881547899999997
ID,ID,12.66666198,0.43526652600000004,67.14189869,29.6803653,46.57534247,23.74429224
IL,IL,6.772678721,1.587600086,,,,
IN,IN,33.33606447,0.221945835,23.58297063,35.75178998,33.46062053,30.787589500000003
KS,KS,14.67579247,2.428755214,,22.19674387,33.22632424,44.5769319
KY,KY,1.955209531,5.628148615,58.92774202,50.90909091,15.85081585,33.24009324
LA,LA,2.864910855,3.801027667,,42.49229414,44.34169969,13.16600616
MA,MA,4.461405096,3.3048096780000003,,4.580745342,52.03804348,43.38121118
MD,MD,5.717469222,1.48777631,48.36921765,18.09045226,72.11055276,9.798994975
ME,ME,32.60831826,0.964773188,58.2841652,52.20228385,5.464926591,42.33278956
MI,MI,25.72127175,0.48967718299999996,54.16079682,25.96013612,34.67833414,39.36152974
MN,MN,8.977706218,0.905906942,,31.34352902,36.14537083,32.51110015
MO,MO,9.388083817,2.095004083,41.78858211,46.36690032,31.81740468,21.81569499
MS,MS,8.461107845,1.525973399,,,,
MT,MT,64.55123902,0.337163511,67.90248857,74.66666667,23.46666667,1.8666666669999998
NC,NC,3.718416825,2.71165829,57.88952381,76.01316602,23.01995474,0.9668792429999999
ND,ND,23.30051865,0.74377952,,48.11783961,18.82160393,33.06055646
NE,NE,27.42502716,1.1292214870000001,71.23828318,48.53432282,18.14471243,33.32096475
NH,NH,9.494779383,2.172674071,,36.1484325,35.76455534,28.08701216
NJ,NJ,8.982304362,2.8011827030000003,,40.27317465,26.0520237,33.67480165
NM,NM,19.02215346,,48.19295214,,,
NV,NV,6.483519599999999,1.602996255,58.51608187,37.043330499999996,53.355989799999996,9.600679694
NY,NY,5.160348709,5.6816966760000005,,28.18066436,25.55035231,46.26898333
OH,OH,21.51378806,0.8445677109999999,49.52430663,10.27578761,51.06487388,38.659338500000004
OK,OK,6.95357573,2.9095726410000005,81.90833959,19.89881956,40.0,40.10118044
OR,OR,100.0,0.8566615259999999,,86.87265278,5.30328895,7.824058268
PA,PA,4.213027165,0.951887246,,22.6124704,52.92028414,24.46724546
PR,PR,0.051446832000000005,0.0,,,,
RI,RI,8.302470253,2.6682105369999998,,97.45283019,0.0,2.547169811
SC,SC,23.40928172,0.5843967870000001,,63.15789474,36.84210526,0.0
SD,SD,15.86914324,0.338298172,28.43295638,14.16666667,80.0,5.833333333
TN,TN,2.094472455,1.100124297,68.86897440000001,11.80438449,83.47386172,4.721753794
TX,TX,4.914567634,1.746662395,12.41618056,28.04206922,34.95169378,37.6666259
UT,UT,17.67780672,0.905952738,20.0,66.98086261,24.4073122,8.611825193
VA,VA,13.48023748,0.584357847,42.30717759,0.0,23.85641677,76.14358323
VI,VI,0.682024133,0.0,17.67676768,,,
VT,VT,29.63862114,0.571029143,72.24489796,,,
WA,WA,100.0,0.9093800059999999,34.42847365,75.48825548,15.34045922,9.171285300000001
WI,WI,4.628867357,,70.84837545,,,
WV,WV,2.0189469140000003,2.715400541,32.74676611,6.451612902999999,47.80058651,45.74780059
WY,WY,20.90718097,0.230961377,67.88822721,17.39130435,54.89130435,27.7173913
